time,surface,frame,blob_id,x,y,area,major,minor,angle,vx,vy
1779370922.6008,plane,1,,,,,,,,,
1779370922.7109,plane,2,,,,,,,,,
1779370922.8076,plane,3,,,,,,,,,
1779370922.9041,plane,4,,,,,,,,,
1779370922.9986,plane,5,,,,,,,,,
1779370923.1099,plane,6,,,,,,,,,
1779370923.2087,plane,7,,,,,,,,,
1779370923.3035,plane,8,,,,,,,,,
1779370923.3990,plane,9,,,,,,,,,
1779370923.5117,plane,10,,,,,,,,,
1779370923.6069,plane,11,,,,,,,,,
1779370923.7036,plane,12,,,,,,,,,
1779370923.7987,plane,13,,,,,,,,,
1779370923.9122,plane,14,,,,,,,,,
1779370924.0070,plane,15,,,,,,,,,
1779370924.1031,plane,16,,,,,,,,,
1779370924.1999,plane,17,,,,,,,,,
1779370924.3138,plane,18,,,,,,,,,
1779370924.4113,plane,19,,,,,,,,,
1779370924.5076,plane,20,,,,,,,,,
1779370924.6021,plane,21,,,,,,,,,
1779370924.7133,plane,22,,,,,,,,,
1779370924.8067,plane,23,,,,,,,,,
1779370924.9049,plane,24,,,,,,,,,
1779370925.0010,plane,25,,,,,,,,,
1779370925.1117,plane,26,,,,,,,,,
1779370925.2079,plane,27,,,,,,,,,
1779370925.3044,plane,28,,,,,,,,,
1779370925.4000,plane,29,,,,,,,,,
1779370925.5123,plane,30,,,,,,,,,
1779370925.6103,plane,31,,,,,,,,,
1779370925.7070,plane,32,,,,,,,,,
1779370925.8028,plane,33,,,,,,,,,
1779370925.9132,plane,34,,,,,,,,,
1779370926.0106,plane,35,,,,,,,,,
1779370926.1053,plane,36,,,,,,,,,
1779370926.2007,plane,37,,,,,,,,,
1779370926.3154,plane,38,,,,,,,,,
1779370926.4099,plane,39,,,,,,,,,
1779370926.5040,plane,40,,,,,,,,,
1779370926.6005,plane,41,,,,,,,,,
1779370926.7114,plane,42,,,,,,,,,
1779370926.8089,plane,43,,,,,,,,,
1779370926.9028,plane,44,,,,,,,,,
1779370926.9988,plane,45,,,,,,,,,
1779370927.1099,plane,46,,,,,,,,,
1779370927.2068,plane,47,,,,,,,,,
1779370927.3034,plane,48,,,,,,,,,
1779370927.4001,plane,49,,,,,,,,,
1779370927.5109,plane,50,,,,,,,,,
1779370927.6070,plane,51,,,,,,,,,
1779370927.7045,plane,52,,,,,,,,,
1779370927.7985,plane,53,,,,,,,,,
1779370927.9118,plane,54,,,,,,,,,
1779370928.0079,plane,55,,,,,,,,,
1779370928.1034,plane,56,,,,,,,,,
1779370928.1994,plane,57,,,,,,,,,
1779370928.3122,plane,58,,,,,,,,,
1779370928.4069,plane,59,,,,,,,,,
1779370928.5027,plane,60,,,,,,,,,
1779370928.5980,plane,61,,,,,,,,,
1779370928.8044,plane,62,,,,,,,,,
1779370928.8176,plane,63,,,,,,,,,
1779370928.9027,plane,64,0,0.34282,0.49612,0.002753,0.06294,0.05035,87.44,0.00000,0.00000
1779370929.0007,plane,65,0,0.35246,0.49533,0.005942,0.09397,0.05320,94.22,0.09858,-0.00807
1779370929.0007,plane,65,1,0.55004,0.49786,0.014021,0.25399,0.08780,90.31,0.00000,0.00000
1779370929.1121,plane,66,0,0.35032,0.49511,0.008045,0.12761,0.05118,91.58,-0.01917,-0.00189
1779370929.1121,plane,66,1,0.53916,0.49829,0.028615,0.31773,0.08355,90.97,-0.09748,0.00390
1779370929.1121,plane,66,2,0.98223,0.03841,0.002233,0.05000,0.04068,11.57,0.00000,0.00000
